RA[deg]	DEC[deg]	z_low	layer
186.1354	31.0683	0.035	7
160.8460	30.8659	0.035	7
202.3712	29.7220	0.035	7
201.7251	29.3194	0.035	7
206.8622	29.1184	0.035	7
166.4357	28.2489	0.035	7
166.7497	27.9819	0.035	7
120.4146	27.8485	0.035	7
183.8878	27.6485	0.035	7
214.6502	27.5152	0.035	7
196.2968	26.5842	0.035	7
211.0903	25.9209	0.035	7
153.5689	24.8626	0.035	7
178.7872	24.7965	0.035	7
154.3482	24.4006	0.035	7
136.2561	23.6103	0.035	7
197.7442	23.2815	0.035	7
186.0782	22.8873	0.035	7
220.8124	22.7560	0.035	7
234.6342	22.6904	0.035	7
138.4410	21.9038	0.035	7
131.5319	21.6420	0.035	7
143.6591	21.2496	0.035	7
173.8498	21.1189	0.035	7
119.6980	20.1400	0.035	7
229.5064	20.0096	0.035	7
152.9680	19.0333	0.035	7
125.0273	18.2539	0.035	7
150.8055	16.8283	0.035	7
221.5284	16.6342	0.035	7
225.6099	16.4402	0.035	7
220.4384	15.7295	0.035	7
172.2619	14.3752	0.035	7
140.4761	13.9889	0.035	7
158.9484	13.6671	0.035	7
140.1221	13.4099	0.035	7
160.8948	13.4099	0.035	7
196.6548	11.9966	0.035	7
148.4838	11.4193	0.035	7
121.3241	11.0988	0.035	7
209.3889	11.0988	0.035	7
164.1076	10.4581	0.035	7
210.1043	10.4581	0.035	7
210.4780	9.8180	0.035	7
210.6726	9.6260	0.035	7
221.3256	9.3062	0.035	7
182.0604	8.5391	0.035	7
164.1054	8.0918	0.035	7
178.7825	7.9641	0.035	7
193.5197	7.7087	0.035	7
226.7967	7.4533	0.035	7
179.9428	7.3256	0.035	7
232.3414	5.6671	0.035	7
157.2955	5.0934	0.035	7
229.3865	5.0934	0.035	7
171.5802	4.7748	0.035	7
140.2048	3.6283	0.035	7
163.5126	2.8006	0.035	7
130.4528	2.6096	0.035	7
212.6631	2.4823	0.035	7
196.3705	2.4187	0.035	7
146.6150	2.2914	0.035	7
201.5277	2.2277	0.035	7
159.7877	1.7185	0.035	7
156.8709	1.5276	0.035	7
155.0336	58.2789	0.04	8
